Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279381,06/02/2026 05:30:00 PM,058XX S CALIFORNIA AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,008,03
JK279188,06/02/2026 05:30:00 PM,054XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,009,08B
JK279679,06/02/2026 05:30:00 PM,024XX E 73RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,003,14
JK286690,06/02/2026 05:29:00 PM,067XX S PRAIRIE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,003,06
JK279267,06/02/2026 05:28:00 PM,078XX S HALSTED ST,2020,NARCOTICS,POSSESS - AMPHETAMINES,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,006,18
JK280603,06/02/2026 05:21:00 PM,009XX W WASHINGTON BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,False,False,012,26
JK279738,06/02/2026 05:17:00 PM,049XX N FRANCISCO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,020,14
JK279345,06/02/2026 05:15:00 PM,004XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,RESTAURANT,False,False,018,06
JK279218,06/02/2026 05:14:00 PM,006XX W 63RD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,True,False,007,04A
JK279158,06/02/2026 05:03:00 PM,043XX W MONROE ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,011,18
JK288657,06/02/2026 05:00:00 PM,004XX S STATE ST,0890,THEFT,FROM BUILDING,LIBRARY,False,False,001,06
JK286842,06/02/2026 05:00:00 PM,044XX W 111TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,022,06
JK280230,06/02/2026 05:00:00 PM,003XX S LAVERGNE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,015,06
JK279448,06/02/2026 05:00:00 PM,022XX S WENTWORTH AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,009,06
